,Authors,Title,Year,EID,DOI,drone_name
115,Bramblett L.; Bezzo N.,Epistemic Planning for Heterogeneous Robotic Systems,2023,2-s2.0-85182526583,10.1109/IROS55552.2023.10341352,Bitcraze Crazyflie
116,Chen Y.; Alimohammadzadeh H.; Ghandeharizadeh S.; Culbertson H.,Force-Feedback Through Touch-based Interactions With A Nanocopter,2024,2-s2.0-85191948634,10.1109/HAPTICS59260.2024.10520851,Bitcraze Crazyflie
117,Oliveira A.M.; Morais A.S.; Lima G.V.; Souza R.M.J.A.; Oliveira-Lopes L.C.,Detection of Volatile Organic Compounds (VOCs) in Indoor Environments Using Nano Quadcopter,2023,2-s2.0-85178288277,10.3390/drones7110660,Bitcraze Crazyflie
118,Niculescu V.; Palossi D.; Magno M.; Benini L.,"Energy-Efficient, Precise UWB-Based 3-D Localization of Sensor Nodes With a Nano-UAV",2023,2-s2.0-85128338575,10.1109/JIOT.2022.3166651,Bitcraze Crazyflie
119,Moldagalieva A.; Ortiz-Haro J.; Toussaint M.; Hönig W.,Db-CBS: Discontinuity-Bounded Conflict-Based Search for Multi-Robot Kinodynamic Motion Planning,2024,2-s2.0-85192574115,10.1109/ICRA57147.2024.10610999,Bitcraze Crazyflie
120,Mañas-Álvarez F.J.; Guinaldo M.; Dormido R.; Dormido-Canto S.,Scalability of Cyber-Physical Systems with Real and Virtual Robots in ROS 2,2023,2-s2.0-85164846347,10.3390/s23136073,Bitcraze Crazyflie
121,Comandini S.; Shambaugh D.; Lu Y.; Wang J.,Improving Flight of Crazyflie Quadcopters Using Online Reinforcement Learning,2023,2-s2.0-85185385076,10.1109/MWSCAS57524.2023.10406004,Bitcraze Crazyflie
122,Hackett J.; Hubicki C.,Real-Time Failure-Adaptive Control for Dynamic Robots,2023,2-s2.0-85182524394,10.1109/IROS55552.2023.10341946,Bitcraze Crazyflie
123,Pourjabar M.; Rusci M.; Bompani L.; Lamberti L.; Niculescu V.; Palossi D.; Benini L.,Multi-sensory Anti-collision Design for Autonomous Nano-swarm Exploration,2023,2-s2.0-85183578192,10.1109/ICECS58634.2023.10382769,Bitcraze Crazyflie
124,Antal P.; Peni T.; Toth R.,Backflipping With Miniature Quadcopters by Gaussian-Process-Based Control and Planning,2024,2-s2.0-85166763216,10.1109/TCST.2023.3297744,Bitcraze Crazyflie
125,Crupi L.; Cereda E.; Giusti A.; Palossi D.,Sim-to-Real Vision-Depth Fusion CNNs for Robust Pose Estimation Aboard Autonomous Nano-quadcopters,2023,2-s2.0-85182524946,10.1109/IROS55552.2023.10342162,Bitcraze Crazyflie
126,Llanes C.; Kakish Z.; Williams K.; Coogan S.,CrazySim: A Software-in-the-Loop Simulator for the Crazyflie Nano Quadrotor,2024,2-s2.0-85193810042,10.1109/ICRA57147.2024.10610906,Bitcraze Crazyflie
127,Talarn P.; Ollé B.; Lemic F.; Abadal S.; Costa-Perez X.,Real-time Generation of 3-Dimensional Representations of Static Objects using Small Unmanned Aerial Vehicles,2023,2-s2.0-85199080421,10.1145/3570361.3614078,Bitcraze Crazyflie
128,Leahy K.; Serlin Z.; Vasile C.-I.; Schoer A.; Jones A.M.; Tron R.; Belta C.,Scalable and Robust Algorithms for Task-Based Coordination from High-Level Specifications (ScRATCHeS),2022,2-s2.0-85122318047,10.1109/TRO.2021.3130794,Bitcraze Crazyflie
129,Jia H.; Bai S.; Ding R.; Shu J.; Deng Y.; Khoo B.L.; Chirarattananon P.,A Quadrotor With a Passively Reconfigurable Airframe for Hybrid Terrestrial Locomotion,2022,2-s2.0-85128650349,10.1109/TMECH.2022.3164929,Bitcraze Crazyflie
130,Zhou J.; Feng L.; Chen H.; Liu B.,Solving Tracking Challenges: Lightweight Algorithm for Single Pedestrian Tracking on Nano-UAVs,2023,2-s2.0-85174908746,10.1109/ICEMI59194.2023.10270310,Bitcraze Crazyflie
131,Ristevski S.; Yucelen T.; Muse J.A.,An Event-Triggered Distributed Control Architecture for Scheduling Information Exchange in Networked Multiagent Systems,2022,2-s2.0-85112175229,10.1109/TCST.2021.3089911,Bitcraze Crazyflie
132,Muller H.; Zimmerman N.; Polonelli T.; Magno M.; Behley J.; Stachniss C.; Benini L.,Fully On-board Low-Power Localization with Multizone Time-of-Flight Sensors on Nano-UAVs,2023,2-s2.0-85162677445,10.23919/DATE56975.2023.10137327,Bitcraze Crazyflie
133,Liu C.; Van Kampen E.-J.; De Croon G.C.H.E.,Adaptive Risk-Tendency: Nano Drone Navigation in Cluttered Environments with Distributional Reinforcement Learning,2023,2-s2.0-85168686547,10.1109/ICRA48891.2023.10160324,Bitcraze Crazyflie
134,Han H.; Cheng J.; Xi Z.; Yao B.,Cascade Flight Control of Quadrotors Based on Deep Reinforcement Learning,2022,2-s2.0-85135749650,10.1109/LRA.2022.3196455,Bitcraze Crazyflie
135,Garg K.; Dawson C.; Xu K.; Ornik M.; Fan C.,Model-Free Neural Fault Detection and Isolation for Safe Control,2023,2-s2.0-85167808969,10.1109/LCSYS.2023.3302768,Bitcraze Crazyflie
136,Chen J.; Oyekan J.,Behavioural Swarm Optimisation for Stable Slung-Load Aerial Transportation,2023,2-s2.0-85174491515,10.1109/CEC53210.2023.10254023,Bitcraze Crazyflie
137,Su Y.; Li J.; Jiao Z.; Wang M.; Chu C.; Li H.; Zhu Y.; Liu H.,Sequential Manipulation Planning for Over-Actuated Unmanned Aerial Manipulators,2023,2-s2.0-85169439103,10.1109/IROS55552.2023.10341441,Bitcraze Crazyflie
138,Sciancalepore S.; George D.R.,Privacy-Preserving Trajectory Matching on Autonomous Unmanned Aerial Vehicles,2022,2-s2.0-85144054391,10.1145/3564625.3564626,ESPcopter
139,Nithya M.; Rashmi M.R.,Gazebo – Simulink Framework for Trajectory Tracking in a Multi-Quadcopter Environment,2022,2-s2.0-85143351870,10.15866/ireaco.v15i4.21432,Bitcraze Crazyflie
140,Michalski J.; Retinger M.; Kozierski P.; Giernacki W.,Position Control of Crazyflie 2.1 Quadrotor UAV Based on Active Disturbance Rejection Control,2023,2-s2.0-85165711287,10.1109/ICUAS57906.2023.10156505,Bitcraze Crazyflie
141,Graham C.; Gonzalez F.; Sanoe A.,Implementation of Partial Observable Markov Decision Process (POMDP) algorithm using Bitcraze Crazyflie Drones,2023,2-s2.0-85165697731,10.1109/ICUAS57906.2023.10156493,Bitcraze Crazyflie
142,Bouwmeester R.J.; Paredes-Valles F.; De Croon G.C.H.E.,NanoFlowNet: Real-time Dense Optical Flow on a Nano Quadcopter,2023,2-s2.0-85168700764,10.1109/ICRA48891.2023.10161258,Bitcraze Crazyflie
143,Zhang J.H.; Xie R.L.; Meng Z.J.; Li G.; Xin S.L.,A Mini-UAV Lightweight Target Detection Model Based on SSD,2023,2-s2.0-85151066248,10.1007/978-981-99-0479-2_277,Custom
144,Bai S.; Chirarattananon P.,SplitFlyer Air: A Modular Quadcopter That Disassembles Into Two Bicopters Mid-Air,2022,2-s2.0-85128643487,10.1109/TMECH.2022.3164886,Bitcraze Crazyflie
145,Bena R.M.; Hossain S.; Chen B.; Wu W.; Nguyen Q.,A Hybrid Quadratic Programming Framework for Real-Time Embedded Safety-Critical Control,2023,2-s2.0-85168666271,10.1109/ICRA48891.2023.10161020,Bitcraze Crazyflie
146,Ercolani C.; Tang L.; Humne A.A.; Martinoli A.,Clustering and Informative Path Planning for 3D Gas Distribution Mapping: Algorithms and Performance Evaluation,2022,2-s2.0-85125696737,10.1109/LRA.2022.3154026,Bitcraze Crazyflie
147,Antal P.; Peni T.; Tóth R.,Nonlinear Control Method for Backflipping with Miniature Quadcopters,2022,2-s2.0-85142146607,10.1016/j.ifacol.2022.07.595,Bitcraze Crazyflie
148,AlNuaimi E.; Cereda E.; Psiakis R.; Sugumar S.; Giusti A.; Palossi D.,A Deep Learning-Based Face Mask Detector for Autonomous Nano-Drones (Student Abstract),2022,2-s2.0-85147604493,10.1609/aaai.v36i11.21588,Bitcraze Crazyflie
149,Pambudi E.; Babgei A.F.; Hady M.A.; Dikairono R.,Nano Quadcopter for Autonomous Heat Source Detection,2023,2-s2.0-85171141585,10.1109/ISITIA59021.2023.10221191,Bitcraze Crazyflie
150,Wang C.; Wang S.; De Croon G.; Hamaza S.,Embodied airflow sensing for improved in-gust flight of flapping wing MAVs,2022,2-s2.0-85144283662,10.3389/frobt.2022.1060933,Bitcraze Crazyflie
151,Chu T.S.; Chua A.; Say M.; Sybingco E.; Roque M.A.,SWARM UAV IMPLEMENTATION USING RADIO LOCALIZATION ON GPS DENIED AREAS,2022,2-s2.0-85139336337,10.11113/aej.V12.17841,Bitcraze Crazyflie
152,Knuth C.; Chou G.; Reese J.; Moore J.,Statistical Safety and Robustness Guarantees for Feedback Motion Planning of Unknown Underactuated Stochastic Systems,2023,2-s2.0-85159626988,10.1109/ICRA48891.2023.10161001,Bitcraze Crazyflie
153,Polonelli T.; Feldmann C.; Niculescu V.; Muller H.; Magno M.; Benini L.,Towards Robust and Efficient On-board Mapping for Autonomous Miniaturized UAVs,2023,2-s2.0-85165733491,10.1109/IWASI58316.2023.10164476,Bitcraze Crazyflie
154,Su Y.-H.; Bhowmick P.; Lanzon A.,"Cooperative Control of Multi-Agent Negative Imaginary Systems with Applications to UAVs, Including Hardware Implementation Results",2023,2-s2.0-85166480306,10.23919/ECC57647.2023.10178371,Bitcraze Crazyflie
155,Ding R.; Hsiao Y.-H.; Jia H.; Bai S.; Chirarattananon P.,Passive Wall Tracking for a Rotorcraft with Tilted and Ducted Propellers Using Proximity Effects,2022,2-s2.0-85122883389,10.1109/LRA.2022.3140821,Bitcraze Crazyflie
156,Pourjabar M.; Alkatheeri A.; Rusci M.; Barcis A.; Niculescu V.; Ferrante E.; Palossi D.; Benini L.,Land & Localize: An Infrastructure-free and Scalable Nano-Drones Swarm with UWB-based Localization,2023,2-s2.0-85174402444,10.1109/DCOSS-IoT58021.2023.00104,Bitcraze Crazyflie
157,Gupta S.; Mohanta J.K.; Jaleel A.; Samanta S.,Semi-Autonomous Non-singular Terminal Sliding Mode Control of a Micro Aerial Robot for Outdoor Wall Climbing Operation,2023,2-s2.0-85165171607,10.1109/ICCC57789.2023.10165105,Bitcraze Crazyflie
158,Gupta S.; Sandhan T.; Samanta S.,Semi-Autonomous Robust Control Design for a Wall Climbing-type Micro Aerial Robot in Outdoor Scenario,2023,2-s2.0-85160014626,10.1109/SPIN57001.2023.10115465,Bitcraze Crazyflie
159,Zekry O.H.; Attia T.; Hafez A.T.; Ashry M.M.,PID Trajectory Tracking Control of Crazyflie Nanoquadcopter Based on Genetic Algorithm,2023,2-s2.0-85160545097,10.1109/AERO55745.2023.10115538,Bitcraze Crazyflie
160,Bonato S.; Lambertenghi S.C.; Cereda E.; Giusti A.; Palossi D.,Ultra-low Power Deep Learning-based Monocular Relative Localization Onboard Nano-quadrotors,2023,2-s2.0-85168650879,10.1109/ICRA48891.2023.10161127,Bitcraze Crazyflie
161,Nguyen N.P.; Park D.; Ngoc D.N.; Xuan-Mung N.; Huynh T.T.; Nguyen T.N.; Hong S.K.,Quadrotor Formation Control via Terminal Sliding Mode Approach: Theory and Experiment Results,2022,2-s2.0-85136171296,10.3390/drones6070172,Bitcraze Crazyflie
162,Kreuzer M.; Weber A.; Leupolz C.; Knoll A.,Symbolic control applied to miniature quadcopter mission guidance,2023,2-s2.0-85166482745,10.23919/ECC57647.2023.10178242,Bitcraze Crazyflie
163,Palossi D.; Zimmerman N.; Burrello A.; Conti F.; Muller H.; Gambardella L.M.; Benini L.; Giusti A.; Guzzi J.,Fully Onboard AI-Powered Human-Drone Pose Estimation on Ultralow-Power Autonomous Flying Nano-UAVs,2022,2-s2.0-85112417836,10.1109/JIOT.2021.3091643,Bitcraze Crazyflie
164,Agrawal D.R.; Panagou D.,Safe and Robust Observer-Controller Synthesis Using Control Barrier Functions,2023,2-s2.0-85133685918,10.1109/LCSYS.2022.3185142,Bitcraze Crazyflie
165,Xiao F.; Yang Q.; Zhao X.; Fang H.,A Framework for Optimized Topology Design and Leader Selection in Affine Formation Control,2022,2-s2.0-85134242246,10.1109/LRA.2022.3188883,Bitcraze Crazyflie
166,Manas-Alvarez F.-J.; Guinaldo M.; Dormido R.; Dormido S.,Robotic Park: Multi-Agent Platform for Teaching Control and Robotics,2023,2-s2.0-85153387242,10.1109/ACCESS.2023.3264508,Bitcraze Crazyflie
167,Liu Z.; Mucchiani C.; Ye K.; Karydis K.,Safely catching aerial micro-robots in mid-air using an open-source aerial robot with soft gripper,2022,2-s2.0-85142149920,10.3389/frobt.2022.1030515,Bitcraze Crazyflie
168,Brandstatter A.; Smolka S.A.; Stoller S.D.; Tiwari A.; Grosu R.,Multi-Agent Spatial Predictive Control with Application to Drone Flocking,2023,2-s2.0-85168687941,10.1109/ICRA48891.2023.10160617,Bitcraze Crazyflie
169,Gowrishetty N.M.; Chukkapalli S.S.L.; Joshi A.,Bewitching the Battlefield: Repurposing the MouseJack Attack for Crazyflie Drones,2023,2-s2.0-85171613173,10.1109/INFOCOMWKSHPS57453.2023.10225819,Bitcraze Crazyflie
170,Hernandez R.A.; Xu T.; Huang Y.; Zuniga Zamalloa M.A.,Firefly: Localizing Drones with Visible Light Communication and Sensor Fusion,2023,2-s2.0-85174416809,10.1109/DCOSS-IoT58021.2023.00045,Bitcraze Crazyflie
171,Pimentel M.; Basiri M.,A Bimodal Rolling-Flying Robot for Micro Level Inspection of Flat and Inclined Surfaces,2022,2-s2.0-85125701260,10.1109/LRA.2022.3154027,Bitcraze Crazyflie
172,Kulhan M.; Surynek P.,Multi-agent Path Finding for Indoor Quadcopters,2023,2-s2.0-85169072338,10.1007/978-3-031-37616-0_34,Bitcraze Crazyflie
173,Su Y.; Ruan L.; Yu P.; Pi C.-H.; Gerber M.J.; Tsao T.-C.,A Fast and Efficient Attitude Control Algorithm of a Tilt-Rotor Aerial Platform Using Inputs Redundancies,2022,2-s2.0-85122321701,10.1109/LRA.2021.3138806,Bitcraze Crazyflie
174,Kouzeghar M.; Song Y.; Meghjani M.; Bouffanais R.,Multi-Target Pursuit by a Decentralized Heterogeneous UAV Swarm using Deep Multi-Agent Reinforcement Learning,2023,2-s2.0-85159921364,10.1109/ICRA48891.2023.10160919,Bitcraze Crazyflie
175,Adajania V.K.; Zhou S.; Singh A.K.; Schoellig A.P.,AMSwarm: An Alternating Minimization Approach for Safe Motion Planning of Quadrotor Swarms in Cluttered Environments,2023,2-s2.0-85168712388,10.1109/ICRA48891.2023.10161063,Bitcraze Crazyflie
176,Nguyen N.P.; Lee B.H.; Xuan-Mung N.; Ha L.N.N.T.; Jeong H.S.; Lee S.T.; Hong S.K.,Persistent Charging System for Crazyflie Platform,2022,2-s2.0-85137328582,10.3390/drones6080212,Bitcraze Crazyflie
177,Guzay C.; Kumbasar T.,Aggressive maneuvering of a quadcopter via differential flatness-based fuzzy controllers: From tuning to experiments,2022,2-s2.0-85133941791,10.1016/j.asoc.2022.109223,Bitcraze Crazyflie
178,de Souza R.M.J.A.; Lima G.V.; de Morais A.S.; Oliveira-Lopes L.C.; Ramos D.C.; Tofoli F.L.,Modified Artificial Potential Field for the Path Planning of Aircraft Swarms in Three-Dimensional Environments,2022,2-s2.0-85124583427,10.3390/s22041558,Bitcraze Crazyflie
179,Li Z.; Chen B.; Chen X.; Xu C.; Chen Y.; Lin F.; Li C.; Dantu K.; Ren K.; Xu W.,Reliable Digital Forensics in the Air: Exploring an RF-based Drone Identification System,2022,2-s2.0-85134260980,10.1145/3534598,Bitcraze Crazyflie
180,Bai S.; He Q.; Chirarattananon P.,A bioinspired revolving-wing drone with passive attitude stability and efficient hovering flight,2022,2-s2.0-85129945927,10.1126/scirobotics.abg5913,Bitcraze Crazyflie
181,Mañas-Álvarez F.J.; Dormido R.; Guinaldo M.; Socas R.; Dormido S.,A Vision Based Navigation Platform for Control Learning,2022,2-s2.0-85142284648,10.1016/j.ifacol.2022.09.270,Bitcraze Crazyflie
182,Jaisinghani D.; Rehman T.U.; Mulkey R.; Berns A.,IoT in the Air: Thread-Enabled Flying IoT Network for Indoor Environments,2023,2-s2.0-85164171660,10.1109/PerComWorkshops56833.2023.10150308,Bitcraze Crazyflie
183,Xi L.; Wang X.; Jiao L.; Lai S.; Peng Z.; Chen B.M.,GTO-MPC-Based Target Chasing Using a Quadrotor in Cluttered Environments,2022,2-s2.0-85112427614,10.1109/TIE.2021.3090700,Bitcraze Crazyflie
184,Zekry O.H.; Attia T.; Hafez A.T.; Ashry M.M.,Modeling and Analysis of Non-linear Sliding Mode Control for UAV Path Following,2023,2-s2.0-85160541120,10.1109/AERO55745.2023.10115872,Bitcraze Crazyflie
185,Shan F.; Huo H.; Zeng J.; Li Z.; Wu W.; Luo J.,Ultra-Wideband Swarm Ranging Protocol for Dynamic and Dense Networks,2022,2-s2.0-85133810753,10.1109/TNET.2022.3186071,Bitcraze Crazyflie
186,Berkovich S.; Kotov N.; Bikmaev R.; Sholohov A.,Place Recognition Using a Siamese Neural Network in the Problem of Simultaneous Localization and Mapping with Sparse Sensing,2023,2-s2.0-85166192831,10.23919/ICINS51816.2023.10168362,Bitcraze Crazyflie
187,Cereda E.; Crupi L.; Risso M.; Burrello A.; Benini L.; Giusti A.; Jahier Pagliari D.; Palossi D.,Deep Neural Network Architecture Search for Accurate Visual Pose Estimation aboard Nano-UAVs,2023,2-s2.0-85168694297,10.1109/ICRA48891.2023.10160369,Bitcraze Crazyflie
188,Karam S.; Nex F.; Karlsson O.; Rydell J.; Bilock E.; Tulldahl M.; Holmberg M.; Kerle N.,MICRO AND MACRO QUADCOPTER DRONES FOR INDOOR MAPPING TO SUPPORT DISASTER MANAGEMENT,2022,2-s2.0-85132803968,10.5194/isprs-annals-V-1-2022-203-2022,Bitcraze Crazyflie
189,Yuan Z.; Hall A.W.; Zhou S.; Brunke L.; Greeff M.; Panerati J.; Schoellig A.P.,Safe-Control-Gym: A Unified Benchmark Suite for Safe Learning-Based Control and Reinforcement Learning in Robotics,2022,2-s2.0-85135757653,10.1109/LRA.2022.3196132,Bitcraze Crazyflie
190,Karaguzel T.A.; Retamal V.; Ferrante E.,Onboard Controller Design for Nano UAV Swarm in Operator-Guided Collective Behaviors,2023,2-s2.0-85168650034,10.1109/ICRA48891.2023.10160630,Bitcraze Crazyflie
191,Lamberti L.; Bompani L.; Kartsch V.J.; Rusci M.; Palossi D.; Benini L.,Bio-inspired Autonomous Exploration Policies with CNN-based Object Detection on Nano-drones,2023,2-s2.0-85162661672,10.23919/DATE56975.2023.10137154,Bitcraze Crazyflie
192,Ostovar I.; Niculescu V.; Muller H.; Polonelli T.; Magno M.; Benini L.,Demo Abstract: Towards Reliable Obstacle Avoidance for Nano-UAVs,2022,2-s2.0-85135949383,10.1109/IPSN54338.2022.00051,Bitcraze Crazyflie
193,Ourari R.; Cui K.; Elshamanhory A.; Koeppl H.,Nearest-Neighbor-based Collision Avoidance for Quadrotors via Reinforcement Learning,2022,2-s2.0-85136339071,10.1109/ICRA46639.2022.9812221,Bitcraze Crazyflie
194,Natter D.; Ening K.; Paliotta C.,An Incrementally Deployed Swarm of MAVs for Localization Using Ultra-Wideband,2022,2-s2.0-85136136623,10.1109/ICUAS54217.2022.9836178,Bitcraze Crazyflie
195,Su Y.-H.; Lanzon A.,Formation-containment tracking and scaling for multiple quadcopters with an application to choke-point navigation,2022,2-s2.0-85136338415,10.1109/ICRA46639.2022.9812172,Bitcraze Crazyflie
196,Soria E.; Schiano F.; Floreano D.,Distributed Predictive Drone Swarms in Cluttered Environments,2022,2-s2.0-85118200730,10.1109/LRA.2021.3118091,Bitcraze Crazyflie
197,Veksler M.; Rodriguez D.L.; Aris A.; Akkaya K.; Uluagac A.S.,LoFin: LoRa-based UAV Fingerprinting Framework,2022,2-s2.0-85147328550,10.1109/MILCOM55135.2022.10017584,Bitcraze Crazyflie
198,Socas R.; Dormido R.; Guinaldo M.; Manas-Alvarez F.J.; Dormido S.,Indirect Method for Calibrating Quadrotor Sensors: A Case Study applied to the Crazyflie 2.X,2022,2-s2.0-85138963052,10.1109/GlobConET53749.2022.9872472,Bitcraze Crazyflie
199,Janszen J.; Shahzaad B.; Alkouz B.; Bouguettaya A.,Constraint-Aware Trajectory for Drone Delivery Services,2022,2-s2.0-85137055739,10.1007/978-3-031-14135-5_26,Bitcraze Crazyflie
200,Neumann P.P.; Hirschberger P.; Bartholmai M.,Flying ant robot for chemical trail detection and localization,2022,2-s2.0-85126737888,10.1016/j.matpr.2022.02.594,Bitcraze Crazyflie
201,Morinigo V.J.K.; Benatti S.; Benini L.,"A High SNR, Low-latency Dry EMG Acquisition System for Unobtrusive HMI Devices",2022,2-s2.0-85142922911,10.1109/BioCAS54905.2022.9948679,Bitcraze Crazyflie
202,Azem S.; Tahir A.; Koeppl H.,Dynamic Time Slot Allocation Algorithm for Quadcopter Swarms,2022,2-s2.0-85135729118,10.1109/CCNC49033.2022.9700712,Bitcraze Crazyflie
203,Shriwastav S.; Snyder G.; Song Z.,Dynamic Compressed Sensing of Unsteady Flows with a Mobile Robot,2022,2-s2.0-85146334285,10.1109/IROS47612.2022.9981737,Bitcraze Crazyflie
204,Guo T.; Feng S.W.; Yu J.,Polynomial Time Near-Time-Optimal Multi-Robot Path Planning in Three Dimensions with Applications to Large-Scale UAV Coordination,2022,2-s2.0-85142602456,10.1109/IROS47612.2022.9982231,Bitcraze Crazyflie
205,Zhu Y.; Fu P.; Chen H.; Wu R.; Liu B.,A Lightweight Gesture Recognition Method on Ultralow-Power Nano-UAVs,2022,2-s2.0-85150419135,10.1109/ICSMD57530.2022.10058359,Bitcraze Crazyflie
206,Padmini M.S.; Kuzhalivaimozhi S.; Simha P.V.; Singh P.; Abhinandan A.,An Implementation of Gesture-Controlled Autonomous Drone,2022,2-s2.0-85147015694,10.1109/STCR55312.2022.10009421,DJI Tello
207,Ercolani C.; Tang L.; Martinoli A.,GaSLAM: An Algorithm for Simultaneous Gas Source Localization and Gas Distribution Mapping in 3D,2022,2-s2.0-85146329021,10.1109/IROS47612.2022.9981976,Bitcraze Crazyflie
208,Olejnik D.A.; Wang S.; Dupeyroux J.; Stroobants S.; Karasek M.; De Wagter C.; De Croon G.,An Experimental Study of Wind Resistance and Power Consumption in MAVs with a Low-Speed Multi-Fan Wind System,2022,2-s2.0-85135434495,10.1109/ICRA46639.2022.9811834,Bitcraze Crazyflie
209,Zhang C.; Wang S.; Meng S.; Kan Z.,Safe Exploration of Reinforcement Learning with Data-Driven Control Barrier Function,2022,2-s2.0-85151260782,10.1109/CAC57257.2022.10055848,Bitcraze Crazyflie
210,Cao M.; Cao K.; Li X.; Yuan S.; Lyu Y.; Nguyen T.-M.; Xie L.,Distributed multi-robot sweep coverage for a region with unknown workload distribution,2021,2-s2.0-85150330806,10.1007/s43684-021-00011-1,DJI Tello
211,Jeong E.; Kang S.; Lee D.; Kim P.,Parsing Indoor Manhattan Scenes Using Four-Point LiDAR on a Micro UAV,2022,2-s2.0-85146632871,10.23919/ICCAS55662.2022.10003969,Bitcraze Crazyflie
212,Kuhne J.; Magno M.; Benini L.,Parallelizing Optical Flow Estimation on an Ultra-Low Power RISC-V Cluster for Nano-UAV Navigation,2022,2-s2.0-85142540880,10.1109/ISCAS48785.2022.9937215,Bitcraze Crazyflie
213,Dai Z.; Liu J.; Xing J.; Yang P.,Research on Hierarchical SDG Modeling Method of Flight Control System Based on FSM and Output Constraint,2022,2-s2.0-85149520432,10.1109/CCDC55256.2022.10033740,Bitcraze Crazyflie
214,Zhu B.; Xu J.; Charway A.; Saldana D.,"PogoDrone: Design, Model, and Control of a Jumping Quadrotor",2022,2-s2.0-85136337503,10.1109/ICRA46639.2022.9811970,Bitcraze Crazyflie
215,Sultangazin A.; Pannocchi L.; Fraile L.; Tabuada P.,Watch and Learn: Learning to control feedback linearizable systems from expert demonstrations,2022,2-s2.0-85127740432,10.1109/ICRA46639.2022.9812054,Bitcraze Crazyflie
216,Niculescu V.; Lamberti L.; Conti F.; Benini L.; Palossi D.,Improving Autonomous Nano-Drones Performance via Automated End-to-End Optimization and Deployment of DNNs,2021,2-s2.0-85121807272,10.1109/JETCAS.2021.3126259,Bitcraze Crazyflie
217,Su Y.; Chu C.; Wang M.; Li J.; Yang L.; Zhu Y.; Liu H.,Downwash-aware Control Allocation for Over-actuated UAV Platforms,2022,2-s2.0-85146325831,10.1109/IROS47612.2022.9981140,Bitcraze Crazyflie
218,Yu P.; Su Y.; Gerber M.J.; Ruan L.; Tsao T.-C.,An Over-Actuated Multi-Rotor Aerial Vehicle with Unconstrained Attitude Angles and High Thrust Efficiencies,2021,2-s2.0-85111731922,10.1109/LRA.2021.3095035,Bitcraze Crazyflie
219,White J.; Jay D.; Wang T.; Hubicki C.,Avoiding Dynamic Obstacles with Real-time Motion Planning using Quadratic Programming for Varied Locomotion Modes,2022,2-s2.0-85146333570,10.1109/IROS47612.2022.9981268,Bitcraze Crazyflie
220,Niculescu V.; Muller H.; Ostovar I.; Polonelli T.; Magno M.; Benini L.,Towards a Multi-Pixel Time-of-Flight Indoor Navigation System for Nano-Drone Applications,2022,2-s2.0-85134431493,10.1109/I2MTC48687.2022.9806701,Bitcraze Crazyflie
221,Kefferputz K.; McGuire K.,Error-State Unscented Kalman-Filter for UAV Indoor Navigation,2022,2-s2.0-85136558623,10.23919/FUSION49751.2022.9841385,Bitcraze Crazyflie
222,Cai X.; Win S.K.H.; Win L.S.T.; Sufiyan D.; Foong S.,Cooperative Modular Single Actuator Monocopters Capable of Controlled Passive Separation,2022,2-s2.0-85136322670,10.1109/ICRA46639.2022.9812182,Bitcraze Crazyflie
223,Vinod A.P.; Safaoui S.; Chakrabarty A.; Quirynen R.; Yoshikawa N.; Di Cairano S.,Safe multi-agent motion planning via filtered reinforcement learning,2022,2-s2.0-85136326910,10.1109/ICRA46639.2022.9812259,Bitcraze Crazyflie
224,Sun S.; Zhang Y.; Lin P.; Ren W.; Farrell J.A.,Distributed Time-Varying Optimization with State-Dependent Gains: Algorithms and Experiments,2022,2-s2.0-85102271625,10.1109/TCST.2021.3058845,Bitcraze Crazyflie
225,Gonzalez-Guerrero J.C.; Diaz-Tellez J.; Estevez-Carreon J.; Mendoza-Vazquez R.; Meraz-Melo M.A.; Guerrero-Castellanos J.F.,Low Altitude Control of the VTOL UAV Tolerant to Ground Effect and Actuator Failures.,2022,2-s2.0-85136137518,10.1109/ICUAS54217.2022.9836161,Bitcraze Crazyflie
226,Vollmer F.; Graßhoff J.; Rostalski P.,Probabilistic Ultra-Wideband TDoA Localization with Bias Correction,2022,2-s2.0-85141010096,10.23919/eusipco55093.2022.9909651,Bitcraze Crazyflie
227,Gao P.; Wang G.; Ji Y.; Li Q.; Zhang J.; Shen Y.; Li P.,Event-Triggered Tracking Control Scheme for Quadrotors with External Disturbances: Theory and Validations,2022,2-s2.0-85136324975,10.1109/ICRA46639.2022.9812326,Bitcraze Crazyflie
228,Do T.-D.; Xuan-Mung N.; Nguyen N.-P.; Lee J.-W.; Lee Y.-S.; Lee S.-T.; Hong S.-K.,Multi-sensor-based Target Pose Estimation for Autonomous Precision Perching of Nano Aerial Vehicles,2022,2-s2.0-85146537816,10.23919/ICCAS55662.2022.10003944,Bitcraze Crazyflie
229,Zhang H.; Lerner E.; Cheng B.; Zhao J.,Compliant Bistable Grippers Enable Passive Perching for Micro Aerial Vehicles,2021,2-s2.0-85098746164,10.1109/TMECH.2020.3037303,Bitcraze Crazyflie
230,Chaikalis D.; Evangeliou N.; Tzes A.; Khorrami F.,Adaptive Control of Coupled-Multicopter Systems,2022,2-s2.0-85136088650,10.1109/ICUAS54217.2022.9836081,Bitcraze Crazyflie
